UID          PID    PPID  C STIME TTY          TIME CMD
stavron+     695     694  0 22:50 ?        00:00:00 (sd-pam)
whoopsie     712       1  0 22:50 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     718       1  0 22:50 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     723       1  0 22:50 ?        00:00:00 /usr/sbin/kerneloops
stavron+     762     694  0 22:50 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
stavron+     767     694  0 22:50 ?        00:00:00 /usr/libexec/tracker-miner-fs
stavron+     769       1  0 22:50 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
stavron+     773     686  0 22:50 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
stavron+     775     694  0 22:50 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
stavron+     778     773  0 22:50 tty2     00:00:08 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
stavron+     781     694  0 22:50 ?        00:00:00 /usr/libexec/gvfsd
rtkit        782       1  0 22:50 ?        00:00:00 /usr/libexec/rtkit-daemon
stavron+     789     694  0 22:50 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
stavron+     796     694  0 22:50 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
stavron+     813     694  0 22:50 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
stavron+     820     694  0 22:50 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
stavron+     824     694  0 22:50 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
stavron+     828     694  0 22:50 ?        00:00:00 /usr/libexec/goa-daemon
stavron+     855     694  0 22:50 ?        00:00:00 /usr/libexec/goa-identity-service
stavron+     868     694  0 22:50 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root         874       1  0 22:50 ?        00:00:00 /usr/lib/upower/upowerd
stavron+     888     773  0 22:50 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
stavron+     969     888  0 22:50 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
stavron+     994     694  0 22:50 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
stavron+     999     994  0 22:50 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
stavron+    1012     694  0 22:50 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
